feature,importance
numeric__pay_0,0.09756678530491378
numeric__age,0.06320234870707749
numeric__limit_bal,0.05927013256763903
numeric__bill_amt1,0.05892835717447308
numeric__bill_amt2,0.052370527307414004
numeric__bill_amt3,0.049943793855567825
numeric__pay_amt1,0.04970821038256093
numeric__bill_amt4,0.048736402923632266
numeric__bill_amt6,0.048558537844196184
numeric__bill_amt5,0.048538504544196996
numeric__pay_amt2,0.046391921962228994
numeric__pay_amt3,0.045996859756085653
numeric__pay_amt6,0.04508907015342429
numeric__pay_2,0.044604795642780366
numeric__pay_amt5,0.04262756318044215
